movieId,title,genres,year,title_clean,rating_mean,rating_count,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,3.8974375697494095,68997,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,3.2757576805978412,28904,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,3.1394472361809047,13134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale,2.8453314326443335,2806,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II,3.0596016420860574,13154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,3.8682773821634453,29490,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,3.363967611336032,13585,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck (1995),Adventure|Children,1995.0,Tom and Huck,3.1155629139072847,1510,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death (1995),Action,1995.0,Sudden Death,2.9877226769378913,4154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,3.4278499722855207,32474,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The",3.6571600355518377,19127,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,2.649131047440113,4258,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Balto (1995),Adventure|Animation|Children,1995.0,Balto,3.3540579022306596,2107,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon (1995),Drama,1995.0,Nixon,3.428302812295618,6116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,2.7308809293320424,3099,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
