tag_clean,rejection_source,rejection_reason,semantic_category,n_uses,n_movies,n_users,top_user_share,pct_movies,idf
bd-r,hard_rules,admin_platform,,3967,3948,12,0.9952104865137383,0.18333797715241015,2.696217136201562
criterion,hard_rules,admin_platform,,2415,1450,221,0.589648033126294,0.06733537661372713,3.697426544604023
dvd-video,hard_rules,admin_platform,,965,953,10,0.9875647668393782,0.044255595801987554,4.116771126039925
tumey's dvds,hard_rules,admin_platform,,649,640,7,0.9861325115562404,0.02972044209157611,4.51440534056754
dvd-ram,hard_rules,admin_platform,,560,556,5,0.9928571428571429,0.025819634067056747,4.654869557560927
library,hard_rules,admin_platform,,515,479,38,0.6310679611650486,0.022243893377913996,4.8036486935862746
netflix,hard_rules,admin_platform,,586,464,135,0.2440273037542662,0.02154732051639268,4.835397391900855
dvd,hard_rules,admin_platform,,427,362,32,0.21311475409836064,0.01681062505804774,5.08303196322336
blu-ray,hard_rules,admin_platform,,335,333,3,0.991044776119403,0.015463917525773196,5.16629380451151
vhs,hard_rules,admin_platform,,358,330,26,0.5167597765363129,0.015324602953468934,5.175316422111148
dvd-r,hard_rules,admin_platform,,333,327,9,0.9009009009009009,0.01518528838116467,5.184421189104067
in netflix queue,hard_rules,admin_platform,,345,319,24,0.47246376811594204,0.014813782855019969,5.209113801694439
on dvr,hard_rules,admin_platform,,282,280,4,0.9397163120567376,0.01300269341506455,5.339080128154465
netflix finland,hard_rules,admin_platform,,294,270,4,0.6700680272108843,0.012538311507383673,5.37531597660851
tivo,hard_rules,admin_platform,,168,168,2,0.9940476190476191,0.00780161604903873,5.847536082565138
eric's dvds,hard_rules,admin_platform,,162,160,3,0.9876543209876543,0.007430110522894028,5.896030432503748
netflix streaming,hard_rules,admin_platform,,117,104,27,0.3333333333333333,0.004829571839881118,6.323474447330687
hulu,hard_rules,admin_platform,,88,82,13,0.5113636363636364,0.0038079316429831893,6.558594189691613
not available from netflix,hard_rules,admin_platform,,88,80,15,0.8181818181818182,0.003715055261447014,6.582985642815772
my dvds,hard_rules,admin_platform,,69,60,10,0.7391304347826086,0.0027862914460852605,6.8665609333149
j netflix,hard_rules,admin_platform,,60,60,1,1.0,0.0027862914460852605,6.8665609333149
amazon,hard_rules,admin_platform,,90,54,40,0.4222222222222222,0.0025076623014767345,6.97010161225574
blue,hard_rules,admin_platform,,51,48,7,0.7254901960784313,0.0022290331568682086,7.085614499377584
not on dvd,hard_rules,admin_platform,,48,46,4,0.9166666666666666,0.002136156775332033,7.127287195778153
blues,hard_rules,admin_platform,,58,31,29,0.3103448275862069,0.001439583913810718,7.511698894688484
bludgeoning,hard_rules,admin_platform,,28,27,2,0.9642857142857143,0.0012538311507383673,7.645230287313007
emily blunt,hard_rules,admin_platform,,303,25,202,0.019801980198019802,0.0011609547692021918,7.719338259466729
blue panties,hard_rules,admin_platform,,24,23,2,0.9583333333333334,0.0010680783876660166,7.799380967140265
jeff goldblum,hard_rules,admin_platform,,217,22,145,0.027649769585253458,0.0010216401968979288,7.8419405815590615
who cares dvds,hard_rules,admin_platform,,23,22,2,0.9565217391304348,0.0010216401968979288,7.8419405815590615
not available from netflix streaming,hard_rules,admin_platform,,21,21,1,1.0,0.0009752020061298412,7.886392344129895
blues music,hard_rules,admin_platform,,26,20,8,0.7307692307692307,0.0009287638153617535,7.932912359764788
blue collar,hard_rules,admin_platform,,33,18,20,0.30303030303030304,0.0008358874338255781,8.032995818321771
blue skin,hard_rules,admin_platform,,18,18,1,1.0,0.0008358874338255781,8.032995818321771
rhythm & blues,hard_rules,admin_platform,,65,17,47,0.26153846153846155,0.0007894492430574905,8.087063039592046
blueprint,hard_rules,admin_platform,,16,16,1,1.0,0.0007430110522894028,8.144221453431996
