tag_clean,semantic_category,semantic_match_reason,n_uses,n_movies,n_users,top_user_uses,top_user_share,pct_movies,idf,passes_statistical_filters,is_reliable_tag,hard_rejection_reason,semantic_rejection_reason,rejection_reason_statistical
thought-provoking,emotional_cognitive_experience,thought-provoking,6003,360,2035,65,0.01082791937364651,0.016717748676511563,5.08855683915533,True,True,,,
emotional,emotional_cognitive_experience,emotional,2289,346,965,44,0.019222367846221056,0.016067614005758336,5.128110017541352,True,True,,,
intense,emotional_cognitive_experience,intense,1759,229,854,24,0.013644115974985787,0.010634345685892077,5.539355488565016,True,True,,,
moving,emotional_cognitive_experience,moving,265,134,168,41,0.15471698113207547,0.006222717562923748,6.0721600190497815,True,True,,,
thought provoking,emotional_cognitive_experience,thought provoking,487,88,346,18,0.03696098562628337,0.004086560787591715,6.4887984277560715,True,True,,,
intellectual,emotional_cognitive_experience,intellectual,676,77,506,18,0.026627218934911243,0.003575740689142751,6.6207259707986195,True,True,,,
complex characters,emotional_cognitive_experience,complex,436,63,316,23,0.052752293577981654,0.0029256060183895237,6.818551714128539,True,True,,,
complex,emotional_cognitive_experience,complex,341,51,247,9,0.026392961876832845,0.0023683477291724713,7.026191078906783,True,True,,,
unsettling,emotional_cognitive_experience,unsettling,192,50,144,13,0.06770833333333333,0.0023219095384043836,7.045609164763885,True,True,,,
powerful,emotional_cognitive_experience,powerful,88,48,64,8,0.09090909090909091,0.0022290331568682086,7.085614499377584,True,True,,,
mind bending,emotional_cognitive_experience,mind bending,267,35,219,5,0.018726591760299626,0.0016253366768830687,7.393915859032101,True,True,,,
ambiguous,emotional_cognitive_experience,ambiguous,110,34,85,10,0.09090909090909091,0.001578898486114981,7.422086735998797,True,True,,,
complex relationships,emotional_cognitive_experience,complex,110,34,72,18,0.16363636363636364,0.001578898486114981,7.422086735998797,True,True,,,
morally complex,emotional_cognitive_experience,complex,152,27,117,7,0.046052631578947366,0.0012538311507383673,7.645230287313007,True,True,,,
immersive,emotional_cognitive_experience,immersive,188,23,145,8,0.0425531914893617,0.0010680783876660166,7.799380967140265,True,True,,,
provocative,emotional_cognitive_experience,provocative,88,21,78,5,0.056818181818181816,0.0009752020061298412,7.886392344129895,True,True,,,
memorable characters,emotional_cognitive_experience,memorable,52,21,32,10,0.19230769230769232,0.0009752020061298412,7.886392344129895,True,True,,,
god complex,emotional_cognitive_experience,complex,42,18,28,13,0.30952380952380953,0.0008358874338255781,8.032995818321771,True,True,,,
military industrial complex,emotional_cognitive_experience,complex,29,18,13,10,0.3448275862068966,0.0008358874338255781,8.032995818321771,True,True,,,
oedipus complex,emotional_cognitive_experience,complex,18,17,10,7,0.3888888888888889,0.0007894492430574905,8.087063039592046,True,True,,,
memorable,emotional_cognitive_experience,memorable,17,14,15,2,0.11764705882352941,0.0006501346707532275,8.269384596386,True,True,,,
complex script,emotional_cognitive_experience,complex,60,13,35,13,0.21666666666666667,0.0006036964799851398,8.338377467872952,True,True,,,
slow moving,emotional_cognitive_experience,moving,21,12,20,2,0.09523809523809523,0.0005572582892170521,8.412485440026675,True,True,,,
oedipal complex,emotional_cognitive_experience,complex,12,11,7,6,0.5,0.0005108200984489644,8.49252814770021,True,True,,,
absorbing,emotional_cognitive_experience,absorbing,70,10,65,3,0.04285714285714286,0.00046438190768087673,8.57953952468984,True,True,,,
not memorable,emotional_cognitive_experience,memorable,13,8,9,4,0.3076923076923077,0.0003715055261447014,8.780210220151991,True,True,,,
very moving,emotional_cognitive_experience,moving,11,7,11,1,0.09090909090909091,0.00032506733537661375,8.897993255808375,True,True,,,
complex story,emotional_cognitive_experience,complex,32,6,31,2,0.0625,0.00027862914460852607,9.031524648432898,True,True,,,
challenging,emotional_cognitive_experience,challenging,20,6,20,1,0.05,0.00027862914460852607,9.031524648432898,True,True,,,
emotional struggle,emotional_cognitive_experience,emotional,15,6,12,4,0.26666666666666666,0.00027862914460852607,9.031524648432898,True,True,,,
mind-bending,emotional_cognitive_experience,mind-bending,15,6,12,4,0.26666666666666666,0.00027862914460852607,9.031524648432898,True,True,,,
emotional and heroic,emotional_cognitive_experience,emotional,12,6,12,1,0.08333333333333333,0.00027862914460852607,9.031524648432898,True,True,,,
anti-intellectual,emotional_cognitive_experience,intellectual,34,5,32,2,0.058823529411764705,0.00023219095384043837,9.185675328260157,True,True,,,
emotional intelligence,emotional_cognitive_experience,emotional,14,5,11,4,0.2857142857142857,0.00023219095384043837,9.185675328260157,True,True,,,
powerful women,emotional_cognitive_experience,powerful,8,5,8,1,0.125,0.00023219095384043837,9.185675328260157,True,True,,,
satire,humor,satire,3573,764,1229,450,0.12594458438287154,0.035478777746818985,4.3375589636616745,True,True,,,
dark comedy,humor,dark comedy,6153,742,1958,386,0.06273362587355762,0.03445713754992105,4.366738752770452,True,True,,,
black comedy,humor,black comedy,4071,739,1345,475,0.11667894866126259,0.03431782297761679,4.370784611289995,True,True,,,
quirky,humor,quirky,4954,515,1459,141,0.02846184901090028,0.023915668245565153,4.731328032006648,True,True,,,
parody,humor,parody,2006,407,723,177,0.08823529411764706,0.018900343642611683,4.966167623084049,True,True,,,
witty,humor,witty,2144,335,918,67,0.03125,0.015556793907309371,5.160323637525007,True,True,,,
spoof,humor,spoof,625,277,212,212,0.3392,0.012863378842760287,5.349813683797574,True,True,,,
slapstick,humor,slapstick,516,221,222,76,0.14728682170542637,0.010262840159747376,5.574757415615932,True,True,,,
absurd,humor,absurd,895,207,501,19,0.021229050279329607,0.009612705488994148,5.639896717786893,True,True,,,
satirical,humor,satirical,1160,188,573,95,0.08189655172413793,0.008730379864400483,5.735687782428569,True,True,,,
screwball comedy,humor,screwball,331,102,135,69,0.2084592145015106,0.004736695458344943,6.342705809258575,True,True,,,
deadpan,humor,deadpan,402,87,222,54,0.13432835820895522,0.004040122596823628,6.500097983010004,True,True,,,
social satire,humor,satire,287,84,174,63,0.21951219512195122,0.003900808024519365,6.5347835409978945,True,True,,,
irony,humor,irony,110,84,46,60,0.5454545454545454,0.003900808024519365,6.5347835409978945,True,True,,,
ironic,humor,ironic,141,47,99,11,0.07801418439716312,0.002182594966100121,7.10623378658032,True,True,,,
screwball,humor,screwball,99,39,58,10,0.10101010101010101,0.0018110894399554194,7.2885553433742745,True,True,,,
dry humor,humor,dry humor,55,32,41,10,0.18181818181818182,0.0014860221045788055,7.4809272360217305,True,True,,,
offbeat,humor,offbeat,46,26,35,5,0.10869565217391304,0.0012073929599702795,7.681597931483882,True,True,,,
witty dialogue,humor,witty,84,22,76,4,0.047619047619047616,0.0010216401968979288,7.8419405815590615,True,True,,,
quirky humor,humor,quirky,32,14,29,3,0.09375,0.0006501346707532275,8.269384596386,True,True,,,
slapstick humor,humor,slapstick,26,14,19,4,0.15384615384615385,0.0006501346707532275,8.269384596386,True,True,,,
deadpan comedy,humor,deadpan,20,14,9,12,0.6,0.0006501346707532275,8.269384596386,True,True,,,
quirky romantic,humor,quirky,116,12,96,3,0.02586206896551724,0.0005572582892170521,8.412485440026675,True,True,,,
offbeat humor,humor,offbeat,15,9,13,3,0.2,0.00041794371691278906,8.674849704494164,True,True,,,
dramatic irony,humor,irony,13,9,10,4,0.3076923076923077,0.00041794371691278906,8.674849704494164,True,True,,,
deadpan humor,humor,deadpan,13,8,12,2,0.15384615384615385,0.0003715055261447014,8.780210220151991,True,True,,,
horror parody,humor,parody,12,8,6,7,0.5833333333333334,0.0003715055261447014,8.780210220151991,True,True,,,
quirky style,humor,quirky,24,7,22,2,0.08333333333333333,0.00032506733537661375,8.897993255808375,True,True,,,
quirky characters,humor,quirky,6,6,6,1,0.16666666666666666,0.00027862914460852607,9.031524648432898,True,True,,,
serial killer,intensity_darkness,serial killer,2763,785,828,523,0.18928700687658342,0.036453979752948826,4.310478005059005,True,True,,,
tragedy,intensity_darkness,tragedy,691,375,294,223,0.3227206946454414,0.01741432153803288,5.0478456540983165,True,True,,,
violent,intensity_darkness,violent,1555,243,644,33,0.02122186495176849,0.011284480356645305,5.480266572195009,True,True,,,
scary,intensity_darkness,scary,523,157,295,15,0.028680688336520075,0.007290795950589765,5.914839764461244,True,True,,,
domestic violence,intensity_darkness,violence,235,151,79,97,0.4127659574468085,0.007012166805981239,5.953554276641935,True,True,,,
suspenseful,intensity_darkness,suspenseful,982,126,542,12,0.012219959266802444,0.005851212036779047,6.13324771102962,True,True,,,
brutal,intensity_darkness,brutal,648,125,367,36,0.05555555555555555,0.005804773846010959,6.141152890536733,True,True,,,
bloody,intensity_darkness,bloody,323,92,208,24,0.07430340557275542,0.004272313550664066,6.444835304334955,True,True,,,
graphic violence,intensity_darkness,violence,196,92,112,72,0.3673469387755102,0.004272313550664066,6.444835304334955,True,True,,,
gory,intensity_darkness,gory,216,83,154,9,0.041666666666666664,0.003854369833751277,6.546617998644897,True,True,,,
tragic hero,intensity_darkness,tragic,151,83,66,74,0.4900662251655629,0.003854369833751277,6.546617998644897,True,True,,,
sexual violence,intensity_darkness,violence,122,73,63,57,0.4672131147540984,0.0033899879260704,6.673369704284041,True,True,,,
tragic,intensity_darkness,tragic,144,60,117,5,0.034722222222222224,0.0027862914460852605,6.8665609333149,True,True,,,
not scary,intensity_darkness,scary,81,49,57,6,0.07407407407407407,0.002275471347636296,7.065411792060065,True,True,,,
sexualized violence,intensity_darkness,violence,223,43,136,29,0.13004484304932734,0.00199684220302777,7.19324516356995,True,True,,,
brutal violence,intensity_darkness,violence,93,38,62,24,0.25806451612903225,0.0017646512491873317,7.313873151358565,True,True,,,
serial killers,intensity_darkness,serial killer,63,36,34,12,0.19047619047619047,0.0016717748676511562,7.366516884843986,True,True,,,
gratuitous violence,intensity_darkness,violence,201,31,157,4,0.01990049751243781,0.001439583913810718,7.511698894688484,True,True,,,
murder plot,intensity_darkness,murder,34,27,10,20,0.5882352941176471,0.0012538311507383673,7.645230287313007,True,True,,,
comic violence,intensity_darkness,violence,47,23,27,20,0.425531914893617,0.0010680783876660166,7.799380967140265,True,True,,,
r:violence,intensity_darkness,violence,32,21,16,17,0.53125,0.0009752020061298412,7.886392344129895,True,True,,,
police violence,intensity_darkness,violence,28,21,11,16,0.5714285714285714,0.0009752020061298412,7.886392344129895,True,True,,,
ultra-violence,intensity_darkness,violence,62,18,50,6,0.0967741935483871,0.0008358874338255781,8.032995818321771,True,True,,,
nihilistic,intensity_darkness,nihilistic,36,18,33,2,0.05555555555555555,0.0008358874338255781,8.032995818321771,True,True,,,
family tragedy,intensity_darkness,tragedy,20,18,9,11,0.55,0.0008358874338255781,8.032995818321771,True,True,,,
murder investigations,intensity_darkness,murder,30,15,23,5,0.16666666666666666,0.0006965728615213151,8.20484607524843,True,True,,,
pg-13:sci-fi action violence,intensity_darkness,violence,18,13,9,10,0.5555555555555556,0.0006036964799851398,8.338377467872952,True,True,,,
violence in america,intensity_darkness,violence,35,12,28,6,0.17142857142857143,0.0005572582892170521,8.412485440026675,True,True,,,
choreographic violence,intensity_darkness,violence,67,11,53,4,0.05970149253731343,0.0005108200984489644,8.49252814770021,True,True,,,
excessive violence,intensity_darkness,violence,30,9,24,3,0.1,0.00041794371691278906,8.674849704494164,True,True,,,
senseless violence,intensity_darkness,violence,22,9,18,3,0.13636363636363635,0.00041794371691278906,8.674849704494164,True,True,,,
scary as hell,intensity_darkness,scary,14,9,13,2,0.14285714285714285,0.00041794371691278906,8.674849704494164,True,True,,,
glorifying violence,intensity_darkness,violence,12,9,8,3,0.25,0.00041794371691278906,8.674849704494164,True,True,,,
tragic romance,intensity_darkness,tragic,10,9,5,6,0.6,0.00041794371691278906,8.674849704494164,True,True,,,
greek tragedy,intensity_darkness,tragedy,24,8,22,2,0.08333333333333333,0.0003715055261447014,8.780210220151991,True,True,,,
urban violence,intensity_darkness,violence,20,8,14,7,0.35,0.0003715055261447014,8.780210220151991,True,True,,,
high school violence,intensity_darkness,violence,11,8,8,3,0.2727272727272727,0.0003715055261447014,8.780210220151991,True,True,,,
unnecessary violence,intensity_darkness,violence,35,7,32,2,0.05714285714285714,0.00032506733537661375,8.897993255808375,True,True,,,
no suspense,intensity_darkness,suspense,16,7,15,2,0.125,0.00032506733537661375,8.897993255808375,True,True,,,
bloody funny,intensity_darkness,bloody,12,7,6,7,0.5833333333333334,0.00032506733537661375,8.897993255808375,True,True,,,
too violent,intensity_darkness,violent,8,7,8,1,0.125,0.00032506733537661375,8.897993255808375,True,True,,,
extremely violent,intensity_darkness,violent,51,6,44,2,0.0392156862745098,0.00027862914460852607,9.031524648432898,True,True,,,
violence pornography,intensity_darkness,violence,16,6,13,4,0.25,0.00027862914460852607,9.031524648432898,True,True,,,
realistic violence,intensity_darkness,violence,74,5,74,1,0.013513513513513514,0.00023219095384043837,9.185675328260157,True,True,,,
not suspenseful,intensity_darkness,suspenseful,6,5,6,1,0.16666666666666666,0.00023219095384043837,9.185675328260157,True,True,,,
surprise ending,narrative_structure,surprise ending,1379,739,435,667,0.48368382886149386,0.03431782297761679,4.370784611289995,True,True,,,
time travel,narrative_structure,time travel,4740,578,1504,486,0.10253164556962026,0.026841274263954676,4.6161323199152156,True,True,,,
twist ending,narrative_structure,twist ending,6600,386,2088,54,0.008181818181818182,0.01792514163648184,5.019010104458429,True,True,,,
plot twist,narrative_structure,plot twist,2396,280,1031,51,0.021285475792988316,0.01300269341506455,5.339080128154465,True,True,,,
nonlinear timeline,narrative_structure,nonlinear,399,228,154,213,0.5338345864661654,0.01058790749512399,5.543712793933971,True,True,,,
bad ending,narrative_structure,ending,530,214,311,23,0.04339622641509434,0.009937772824370762,5.606796769360548,True,True,,,
ending,narrative_structure,ending,470,198,258,26,0.05531914893617021,0.00919476177208136,5.684129972763719,True,True,,,
narrated,narrative_structure,narrated,757,191,331,79,0.10435931307793923,0.008869694436704746,5.71993942546043,True,True,,,
happy ending,narrative_structure,ending,685,186,366,33,0.04817518248175182,0.008637503482864307,5.746326180633624,True,True,,,
mindfuck,narrative_structure,mindfuck,3457,178,1385,51,0.014752675730402082,0.008265997956719607,5.790048991647456,True,True,,,
confusing,narrative_structure,confusing,680,178,399,14,0.020588235294117647,0.008265997956719607,5.790048991647456,True,True,,,
twist,narrative_structure,twist,661,153,388,17,0.025718608169440244,0.007105043187517414,5.940482195074582,True,True,,,
dialogue driven,narrative_structure,dialogue driven,703,149,379,38,0.05405405405405406,0.006919290424445064,5.966799503391955,True,True,,,
narration,narrative_structure,narration,167,133,59,80,0.47904191616766467,0.006176279372155661,6.079594997537299,True,True,,,
nonlinear,narrative_structure,nonlinear,2097,129,1069,29,0.013829279923700524,0.00599052660908331,6.109900347032629,True,True,,,
multiple storylines,narrative_structure,multiple storylines,1514,129,804,49,0.03236459709379128,0.00599052660908331,6.109900347032629,True,True,,,
sad ending,narrative_structure,ending,280,128,183,12,0.04285714285714286,0.005944088418315222,6.117622393126539,True,True,,,
ambiguous ending,narrative_structure,ambiguous ending,242,123,125,89,0.3677685950413223,0.005711897464474784,6.157153231883174,True,True,,,
murder mystery,narrative_structure,mystery,477,116,309,47,0.09853249475890985,0.00538683012909817,6.215260862690455,True,True,,,
