movieId,tag_clean,semantic_category,idf,n_uses,n_movies,n_users,top_user_share
1,alien,theme,4.785072308013339,992,488,229,0.4586693548387097
1,emotional,emotional_cognitive_experience,5.128110017541352,2289,346,965,0.019222367846221056
1,family relationships,theme,4.146560562842032,1305,925,245,0.5379310344827586
1,feel-good,tone_atmosphere,5.6255766640121445,1244,210,689,0.013665594855305467
1,moving,emotional_cognitive_experience,6.0721600190497815,265,134,168,0.15471698113207547
1,nostalgic,tone_atmosphere,5.927578790238674,531,155,311,0.054613935969868174
1,redemption,theme,4.94434857568941,814,416,289,0.3071253071253071
1,single mother,theme,5.444045308760691,358,252,100,0.5586592178770949
1,surprise ending,narrative_structure,4.370784611289995,1379,739,435,0.48368382886149386
1,time travel,narrative_structure,4.6161323199152156,4740,578,1504,0.10253164556962026
1,unusual friendship,theme,9.185675328260157,12,5,7,0.4166666666666667
1,witty,humor,5.160323637525007,2144,335,918,0.03125
2,childhood,theme,5.539355488565016,605,229,283,0.12727272727272726
2,coming of age,theme,4.040120716264529,4494,1029,1133,0.09768580329327993
2,heartwarming,tone_atmosphere,5.570263026028092,1507,222,727,0.019243530192435302
2,moving,emotional_cognitive_experience,6.0721600190497815,265,134,168,0.15471698113207547
2,scary,intensity_darkness,5.914839764461244,523,157,295,0.028680688336520075
2,surprise ending,narrative_structure,4.370784611289995,1379,739,435,0.48368382886149386
2,surrealism,visual_style,4.324571768134864,1752,774,602,0.4035388127853881
2,time travel,narrative_structure,4.6161323199152156,4740,578,1504,0.10253164556962026
4,single mother,theme,5.444045308760691,358,252,100,0.5586592178770949
5,father - child relationship,theme,7.610138967501737,56,28,35,0.17857142857142858
5,heartwarming,tone_atmosphere,5.570263026028092,1507,222,727,0.019243530192435302
5,narration,narrative_structure,6.079594997537299,167,133,59,0.47904191616766467
6,atmospheric,tone_atmosphere,4.2705724608854645,10088,817,2205,0.02111419508326725
6,bleak,tone_atmosphere,5.778937766222385,566,180,250,0.17314487632508835
6,complex characters,emotional_cognitive_experience,6.818551714128539,436,63,316,0.052752293577981654
6,neo-noir,visual_style,5.420606735788673,1243,258,507,0.13596138374899436
6,obsession,theme,4.826832029041931,946,468,329,0.3583509513742072
6,philosophy,theme,5.592939734699122,2089,217,999,0.05648635710866443
6,r:violence,intensity_darkness,7.886392344129895,32,21,16,0.53125
6,somber,tone_atmosphere,6.916991786941792,131,57,61,0.366412213740458
6,tense,tone_atmosphere,4.946749537226948,2643,415,948,0.06999621642073402
6,violent,intensity_darkness,5.480266572195009,1555,243,644,0.02122186495176849
6,witty,humor,5.160323637525007,2144,335,918,0.03125
7,coming of age,theme,4.040120716264529,4494,1029,1133,0.09768580329327993
7,family relationships,theme,4.146560562842032,1305,925,245,0.5379310344827586
7,mistaken identity,theme,5.468046460860234,364,246,100,0.5576923076923077
7,redemption,theme,4.94434857568941,814,416,289,0.3071253071253071
7,surprise ending,narrative_structure,4.370784611289995,1379,739,435,0.48368382886149386
8,nostalgic,tone_atmosphere,5.927578790238674,531,155,311,0.054613935969868174
