title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
Everything Everywhere All at Once,2022,396092,everything-everywhere-all-at-once-2022,tt6710474,545611,8,4.0,2026-06-12T12:57:03.000Z,,
A Real Pain,2024,815128,a-real-pain-2024,tt21823606,1013850,5,2.5,2026-06-12T12:57:02.000Z,,
Novocaine,2025,964679,novocaine-2025,tt29603959,1195506,6,3.0,2026-06-12T12:56:58.000Z,,
Parthenope,2024,892504,parthenope-2024,tt23853982,1109255,7,3.5,2026-06-12T12:56:54.000Z,,
Crank,2006,1319,crank-2006,tt0479884,1948,8,4.0,2026-06-12T12:56:48.000Z,,
American Pie 2,2001,1851,american-pie-2-2001,tt0252866,2770,7,3.5,2026-06-12T12:56:44.000Z,,
The Suicide Squad,2021,283364,the-suicide-squad-2021,tt6334354,436969,8,4.0,2026-06-12T12:56:34.000Z,,
GoodFellas,1990,612,goodfellas-1990,tt0099685,769,10,5.0,2026-06-12T12:56:25.000Z,,
Gladiator,2000,67,gladiator-2000,tt0172495,98,10,5.0,2026-06-12T12:56:23.000Z,,
Inglourious Basterds,2009,10322,inglourious-basterds-2009,tt0361748,16869,8,4.0,2026-06-12T12:56:21.000Z,,
Inception,2010,16662,inception-2010,tt1375666,27205,9,4.5,2026-06-12T12:56:17.000Z,,
Django Unchained,2012,50131,django-unchained-2012,tt1853728,68718,9,4.5,2026-06-12T12:56:15.000Z,,
Eternal Sunshine of the Spotless Mind,2004,29,eternal-sunshine-of-the-spotless-mind-2004,tt0338013,38,10,5.0,2026-06-12T12:56:10.000Z,,
Memento,2000,47,memento-2000,tt0209144,77,9,4.5,2026-06-12T12:56:07.000Z,,
Before Sunset,2004,50,before-sunset-2004,tt0381681,80,9,4.5,2026-06-12T12:56:04.000Z,,
Apocalypse Now,1979,23,apocalypse-now-1979,tt0078788,28,8,4.0,2026-06-12T12:56:01.000Z,,
Snatch,2000,76,snatch-2000,tt0208092,107,7,3.5,2026-06-12T12:55:58.000Z,,
The Silence of the Lambs,1991,230,the-silence-of-the-lambs-1991,tt0102926,274,8,4.0,2026-06-12T12:55:56.000Z,,
1917,2019,382862,1917-2019,tt8579674,530915,8,4.0,2026-06-12T12:55:52.000Z,,
The Wolf of Wall Street,2013,75735,the-wolf-of-wall-street-2013,tt0993846,106646,10,5.0,2026-06-12T12:55:49.000Z,,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,389,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan-2006,tt0443453,496,9,4.5,2026-06-12T12:55:48.000Z,,
Oppenheimer,2023,698292,oppenheimer-2023,tt15398776,872585,10,5.0,2026-06-12T12:55:45.000Z,,
Dune: Part Two,2024,537449,dune-part-two-2024,tt15239678,693134,10,5.0,2026-06-12T12:55:43.000Z,,
A Beautiful Mind,2001,358,a-beautiful-mind-2001,tt0268978,453,8,4.0,2026-06-12T12:55:40.000Z,,
About Time,2013,84894,about-time-2013,tt2194499,122906,8,4.0,2026-06-12T12:55:38.000Z,,
Full Metal Jacket,1987,478,full-metal-jacket-1987,tt0093058,600,9,4.5,2026-06-12T12:55:36.000Z,,
Taxi Driver,1976,72,taxi-driver-1976,tt0075314,103,7,3.5,2026-06-12T12:55:32.000Z,,
Casino,1995,409,casino-1995,tt0112641,524,9,4.5,2026-06-12T12:55:29.000Z,,
Once Upon a Time in America,1984,262,once-upon-a-time-in-america-1984,tt0087843,311,10,5.0,2026-06-12T12:55:25.000Z,,
Kill Bill: Vol. 2,2004,313,kill-bill-vol-2-2004,tt0378194,393,7,3.5,2026-06-12T12:55:22.000Z,,
Superbad,2007,4151,superbad-2007,tt0829482,8363,8,4.0,2026-06-12T12:55:18.000Z,,
The Sixth Sense,1999,590,the-sixth-sense-1999,tt0167404,745,7,3.5,2026-06-12T12:55:13.000Z,,
La La Land,2016,192932,la-la-land-2016,tt3783958,313369,10,5.0,2026-06-12T12:55:10.000Z,,
The Others,2001,1304,the-others-2001,tt0230600,1933,8,4.0,2026-06-12T12:55:07.000Z,,
Alien: Romulus,2024,759944,alien-romulus-2024,tt18412256,945961,6,3.0,2026-06-12T12:55:04.000Z,,
The Holdovers,2023,671129,the-holdovers-2023,tt14849194,840430,6,3.0,2026-06-12T12:55:02.000Z,,
Her,2013,99919,her-2013,tt1798709,152601,7,3.5,2026-06-12T12:54:57.000Z,,
The Fifth Element,1997,14,the-fifth-element-1997,tt0119116,18,8,4.0,2026-06-12T12:54:55.000Z,,
Babylon,2022,459051,babylon-2022,tt10640346,615777,9,4.5,2026-06-12T12:54:51.000Z,,
The Matrix,1999,481,the-matrix-1999,tt0133093,603,8,4.0,2026-06-12T12:54:47.000Z,,
Civil War,2024,745438,civil-war-2024,tt17279496,929590,9,4.5,2026-06-12T12:54:44.000Z,,
The Northman,2022,478776,the-northman-2022,tt11138512,639933,7,3.5,2026-06-12T12:54:41.000Z,,
Superman,2025,853702,superman-2025,tt5950044,1061474,7,3.5,2026-06-12T12:54:37.000Z,,
Late Night with the Devil,2024,753560,late-night-with-the-devil-2024,tt14966898,938614,7,3.5,2026-06-12T12:54:33.000Z,,
Punch-Drunk Love,2002,4018,punch-drunk-love-2002,tt0272338,8051,5,2.5,2026-06-12T12:54:25.000Z,,
Before Midnight,2013,89883,before-midnight-2013,tt2209418,132344,7,3.5,2026-06-12T12:54:20.000Z,,
Alien,1979,295,alien-1979,tt0078748,348,9,4.5,2026-06-12T12:54:10.000Z,,
The Green Knight,2021,410283,the-green-knight-2021,tt9243804,559907,6,3.0,2026-06-12T12:54:07.000Z,,
Requiem for a Dream,2000,517,requiem-for-a-dream-2000,tt0180093,641,8,4.0,2026-06-12T12:53:59.000Z,,
Dune,2021,287071,dune-2021,tt1160419,438631,10,5.0,2026-06-12T12:53:55.000Z,,
A Clockwork Orange,1971,149,a-clockwork-orange-1971,tt0066921,185,8,4.0,2026-06-12T12:53:51.000Z,,
Trainspotting,1996,503,trainspotting-1996,tt0117951,627,9,4.5,2026-06-12T12:53:48.000Z,,
The Godfather: Part II,1974,198,the-godfather-part-ii-1974,tt0071562,240,7,3.5,2026-06-12T12:53:43.000Z,,
Avengers: Infinity War,2018,191797,avengers-infinity-war-2018,tt4154756,299536,4,2.0,2026-06-12T12:53:37.000Z,,
