title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
Hoppers,2026,1085761,hoppers-2026,tt26443616,1327819,,,,4,2026-03-29T00:54:00.000Z
Ted,2012,52936,ted-2012,tt1637725,72105,,,,3,2026-04-26T14:11:00.000Z
Backrooms,2026,870815,backrooms-2026,tt26657236,1083381,,,,3,2026-06-07T14:48:00.000Z
Coraline,2009,8984,coraline-2009,tt0327597,14836,,,,2,2026-01-30T18:46:00.000Z
Whiplash,2014,149047,whiplash-2014,tt2582802,244786,,,,2,2026-04-29T23:24:00.000Z
The Bad Guys,2022,469856,the-bad-guys-2022,tt8115900,629542,,,,2,2026-02-08T23:59:00.000Z
My Fault,2023,812422,my-fault-2023,tt21909764,1010581,,,,2,2026-01-30T21:17:00.000Z
Novocaine,2025,964679,novocaine-2025,tt29603959,1195506,,,,2,2025-04-20T11:34:00.000Z
28 Years Later: The Bone Temple,2026,1033738,28-years-later-the-bone-temple-2026,tt32141377,1272837,,,,2,2026-02-07T00:28:00.000Z
Marty Supreme,2025,1076665,marty-supreme-2025,tt32916440,1317288,,,,2,2026-03-19T12:43:00.000Z
Star Wars,1977,7,star-wars-1977,tt0076759,11,,,,1,2026-01-24T12:14:00.000Z
Forrest Gump,1994,9,forrest-gump-1994,tt0109830,13,,,,1,2026-01-24T12:28:00.000Z
American Beauty,1999,10,american-beauty-1999,tt0169547,14,,,,1,2026-02-07T13:58:00.000Z
The Fifth Element,1997,14,the-fifth-element-1997,tt0119116,18,,,,1,2026-01-24T12:08:00.000Z
Pirates of the Caribbean: The Curse of the Black Pearl,2003,18,pirates-of-the-caribbean-the-curse-of-the-black-pearl-2003,tt0325980,22,,,,1,2026-01-24T14:50:00.000Z
Kill Bill: Vol. 1,2003,19,kill-bill-vol-1-2003,tt0266697,24,,,,1,2026-01-24T13:12:00.000Z
Apocalypse Now,1979,23,apocalypse-now-1979,tt0078788,28,,,,1,2026-01-24T12:07:00.000Z
Eternal Sunshine of the Spotless Mind,2004,29,eternal-sunshine-of-the-spotless-mind-2004,tt0338013,38,,,,1,2026-01-24T12:06:00.000Z
Pirates of the Caribbean: Dead Man's Chest,2006,31,pirates-of-the-caribbean-dead-man-s-chest-2006,tt0383574,58,,,,1,2026-01-24T14:51:00.000Z
2001: A Space Odyssey,1968,33,2001-a-space-odyssey-1968,tt0062622,62,,,,1,2026-01-24T14:49:00.000Z
Twelve Monkeys,1995,34,twelve-monkeys-1995,tt0114746,63,,,,1,2026-01-24T13:07:00.000Z
American History X,1998,43,american-history-x-1998,tt0120586,73,,,,1,2026-01-24T13:07:00.000Z
Before Sunrise,1995,46,before-sunrise-1995,tt0112471,76,,,,1,2026-01-24T12:36:00.000Z
Memento,2000,47,memento-2000,tt0209144,77,,,,1,2026-01-24T12:07:00.000Z
Blade Runner,1982,48,blade-runner-1982,tt0083658,78,,,,1,2026-01-24T12:29:00.000Z
Before Sunset,2004,50,before-sunset-2004,tt0381681,80,,,,1,2026-01-24T12:07:00.000Z
Raiders of the Lost Ark,1981,54,raiders-of-the-lost-ark-1981,tt0082971,85,,,,1,2026-01-24T12:29:00.000Z
Indiana Jones and the Temple of Doom,1984,56,indiana-jones-and-the-temple-of-doom-1984,tt0087469,87,,,,1,2026-01-24T13:41:00.000Z
Indiana Jones and the Last Crusade,1989,58,indiana-jones-and-the-last-crusade-1989,tt0097576,89,,,,1,2026-01-24T12:29:00.000Z
Gladiator,2000,67,gladiator-2000,tt0172495,98,,,,1,2026-01-24T12:06:00.000Z
All About My Mother,1999,68,all-about-my-mother-1999,tt0185125,99,,,,1,2026-02-04T19:06:00.000Z
Taxi Driver,1976,72,taxi-driver-1976,tt0075314,103,,,,1,2026-01-24T12:07:00.000Z
Snatch,2000,76,snatch-2000,tt0208092,107,,,,1,2026-01-24T12:07:00.000Z
Scarface,1983,80,scarface-1983,tt0086250,111,,,,1,2026-01-24T12:14:00.000Z
The Big Lebowski,1998,84,the-big-lebowski-1998,tt0118715,115,,,,1,2026-01-24T12:07:00.000Z
The Lord of the Rings: The Fellowship of the Ring,2001,88,the-lord-of-the-rings-the-fellowship-of-the-ring-2001,tt0120737,120,,,,1,2026-01-24T12:28:00.000Z
The Lord of the Rings: The Two Towers,2002,89,the-lord-of-the-rings-the-two-towers-2002,tt0167261,121,,,,1,2025-03-09T17:03:00.000Z
The Lord of the Rings: The Return of the King,2003,90,the-lord-of-the-rings-the-return-of-the-king-2003,tt0167260,122,,,,1,2026-01-24T12:13:00.000Z
Donnie Darko,2001,107,donnie-darko-2001,tt0246578,141,,,,1,2026-01-24T12:36:00.000Z
The Dark Knight,2008,120,the-dark-knight-2008,tt0468569,155,,,,1,2026-01-24T12:06:00.000Z
Ocean's Eleven,2001,126,ocean-s-eleven-2001,tt0240772,161,,,,1,2026-01-24T14:53:00.000Z
Edward Scissorhands,1990,127,edward-scissorhands-1990,tt0099487,162,,,,1,2026-02-05T13:51:00.000Z
28 Days Later,2002,135,28-days-later-2002,tt0289043,170,,,,1,2026-01-24T13:41:00.000Z
A Clockwork Orange,1971,149,a-clockwork-orange-1971,tt0066921,185,,,,1,2026-01-24T12:29:00.000Z
The Name of the Rose,1986,155,the-name-of-the-rose-1986,tt0091605,192,,,,1,2026-01-24T12:36:00.000Z
Amélie,2001,157,amelie-2001,tt0211915,194,,,,1,2026-01-24T12:30:00.000Z
Dead Poets Society,1989,169,dead-poets-society-1989,tt0097165,207,,,,1,2026-01-24T12:07:00.000Z
The Godfather,1972,196,the-godfather-1972,tt0068646,238,,,,1,2026-01-24T12:27:00.000Z
The Godfather: Part II,1974,198,the-godfather-part-ii-1974,tt0071562,240,,,,1,2026-01-24T12:36:00.000Z
Batman Begins,2005,228,batman-begins-2005,tt0372784,272,,,,1,2026-01-24T13:41:00.000Z
The Silence of the Lambs,1991,230,the-silence-of-the-lambs-1991,tt0102926,274,,,,1,2026-01-24T12:07:00.000Z
Fargo,1996,231,fargo-1996,tt0116282,275,,,,1,2026-01-24T12:07:00.000Z
Pirates of the Caribbean: At World's End,2007,239,pirates-of-the-caribbean-at-world-s-end-2007,tt0449088,285,,,,1,2026-01-24T13:07:00.000Z
Once Upon a Time in America,1984,262,once-upon-a-time-in-america-1984,tt0087843,311,,,,1,2026-01-24T12:07:00.000Z
Jurassic Park,1993,276,jurassic-park-1993,tt0107290,329,,,,1,2026-01-24T12:29:00.000Z
Alien,1979,295,alien-1979,tt0078748,348,,,,1,2026-01-24T12:28:00.000Z
Kill Bill: Vol. 2,2004,313,kill-bill-vol-2-2004,tt0378194,393,,,,1,2026-01-24T12:07:00.000Z
La Haine,1995,324,la-haine-1995,tt0113247,406,,,,1,2026-01-24T12:28:00.000Z
A Beautiful Mind,2001,358,a-beautiful-mind-2001,tt0268978,453,,,,1,2026-01-24T12:07:00.000Z
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,389,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan-2006,tt0443453,496,,,,1,2026-01-24T12:07:00.000Z
Reservoir Dogs,1992,392,reservoir-dogs-1992,tt0105236,500,,,,1,2026-01-24T12:28:00.000Z
Casino,1995,409,casino-1995,tt0112641,524,,,,1,2026-01-24T12:07:00.000Z
Life of Brian,1979,462,life-of-brian-1979,tt0079470,583,,,,1,2026-01-24T12:08:00.000Z
"Monsters, Inc.",2001,464,monsters-inc-2001,tt0198781,585,,,,1,2026-01-24T14:49:00.000Z
City of God,2002,476,city-of-god-2002,tt0317248,598,,,,1,2026-02-14T12:52:00.000Z
Full Metal Jacket,1987,478,full-metal-jacket-1987,tt0093058,600,,,,1,2026-01-24T12:07:00.000Z
The Matrix,1999,481,the-matrix-1999,tt0133093,603,,,,1,2026-01-24T12:13:00.000Z
The Matrix Revolutions,2003,483,the-matrix-revolutions-2003,tt0242653,605,,,,1,2026-01-24T13:06:00.000Z
Downfall,2004,489,downfall-2004,tt0363163,613,,,,1,2026-01-24T17:27:00.000Z
Grease,1978,497,grease-1978,tt0077631,621,,,,1,2026-01-24T14:52:00.000Z
Trainspotting,1996,503,trainspotting-1996,tt0117951,627,,,,1,2026-01-24T12:29:00.000Z
Life Is Beautiful,1997,513,life-is-beautiful-1997,tt0118799,637,,,,1,2026-01-24T13:12:00.000Z
Requiem for a Dream,2000,517,requiem-for-a-dream-2000,tt0180093,641,,,,1,2026-01-24T12:29:00.000Z
Pulp Fiction,1994,554,pulp-fiction-1994,tt0110912,680,,,,1,2026-01-24T12:06:00.000Z
The Shining,1980,566,the-shining-1980,tt0081505,694,,,,1,2026-01-24T12:06:00.000Z
Annie Hall,1977,575,annie-hall-1977,tt0075686,703,,,,1,2026-01-24T13:34:00.000Z
The Sixth Sense,1999,590,the-sixth-sense-1999,tt0167404,745,,,,1,2026-01-24T12:08:00.000Z
Shaun of the Dead,2004,592,shaun-of-the-dead-2004,tt0365748,747,,,,1,2026-01-24T13:05:00.000Z
