movieId;title;year;decade;genres;main_genre;trakt_rating;user_rating_5;watched;rated;profile_type;source
1172;Cinema Paradiso (Nuovo cinema Paradiso) (1989);1989;1980;Drama;Drama;8,0;4,0;True;True;positivo;Trakt
6016;City of God (Cidade de Deus) (2002);2002;2000;Action | Adventure | Crime | Drama | Thriller;Action;8,0;4,0;True;True;positivo;Trakt
2291;Edward Scissorhands (1990);1990;1990;Drama | Fantasy | Romance;Drama;8,0;4,0;True;True;positivo;Trakt
288135;My Fault (2023);2023;2020;Drama | Romance;Drama;3,0;1,5;True;True;negativo;Trakt
115569;Nightcrawler (2014);2014;2010;Crime | Drama | Thriller;Crime;8,0;4,0;True;True;positivo;Trakt
104913;Rush (2013);2013;2010;Action | Drama;Action;8,0;4,0;True;True;positivo;Trakt
218537;Palm Springs (2020);2020;2020;Comedy;Comedy;8,0;4,0;True;True;positivo;Trakt
1884;Fear and Loathing in Las Vegas (1998);1998;1990;Adventure | Comedy | Drama;Adventure;8,0;4,0;True;True;positivo;Trakt
202429;Once Upon a Time in Hollywood (2019);2019;2010;Comedy | Drama;Comedy;9,0;4,5;True;True;positivo;Trakt
48516;Departed, The (2006);2006;2000;Crime | Drama | Thriller;Crime;8,0;4,0;True;True;positivo;Trakt
78499;Toy Story 3 (2010);2010;2010;Adventure | Animation | Children | Comedy | Fantasy | IMAX;Adventure;9,0;4,5;True;True;positivo;Trakt
1258;Shining, The (1980);1980;1980;Horror;Horror;8,0;4,0;True;True;positivo;Trakt
8360;Shrek 2 (2004);2004;2000;Adventure | Animation | Children | Comedy | Musical | Romance;Adventure;9,0;4,5;True;True;positivo;Trakt
88125;Harry Potter and the Deathly Hallows: Part 2 (2011);2011;2010;Action | Adventure | Drama | Fantasy | Mystery | IMAX;Action;5,0;2,5;True;True;negativo;Trakt
288513;Barbie (2023);2023;2020;Comedy;Comedy;5,0;2,5;True;True;negativo;Trakt
3114;Toy Story 2 (1999);1999;1990;Adventure | Animation | Children | Comedy | Fantasy;Adventure;9,0;4,5;True;True;positivo;Trakt
4886;Monsters, Inc. (2001);2001;2000;Adventure | Animation | Children | Comedy | Fantasy;Adventure;8,0;4,0;True;True;positivo;Trakt
1;Toy Story (1995);1995;1990;Adventure | Animation | Children | Comedy | Fantasy;Adventure;8,0;4,0;True;True;positivo;Trakt
4306;Shrek (2001);2001;2000;Adventure | Animation | Children | Comedy | Fantasy | Romance;Adventure;8,0;4,0;True;True;positivo;Trakt
112552;Whiplash (2014);2014;2010;Drama;Drama;8,0;4,0;True;True;positivo;Trakt
103984;Great Beauty, The (Grande Bellezza, La) (2013);2013;2010;Comedy | Drama;Comedy;8,0;4,0;True;True;positivo;Trakt
203375;Ford v. Ferrari (2019);2019;2010;Action | Drama;Action;8,0;4,0;True;True;positivo;Trakt
6502;28 Days Later (2002);2002;2000;Action | Horror | Sci-Fi;Action;8,0;4,0;True;True;positivo;Trakt
176371;Blade Runner 2049 (2017);2017;2010;Sci-Fi;Sci-Fi;8,0;4,0;True;True;positivo;Trakt
1230;Annie Hall (1977);1977;1970;Comedy | Romance;Comedy;8,0;4,0;True;True;positivo;Trakt
79357;Mr. Nobody (2009);2009;2000;Drama | Fantasy | Romance | Sci-Fi;Drama;8,0;4,0;True;True;positivo;Trakt
92259;Intouchables (2011);2011;2010;Comedy | Drama;Comedy;8,0;4,0;True;True;positivo;Trakt
63992;Twilight (2008);2008;2000;Drama | Fantasy | Romance | Thriller;Drama;5,0;2,5;True;True;negativo;Trakt
64614;Gran Torino (2008);2008;2000;Crime | Drama;Crime;8,0;4,0;True;True;positivo;Trakt
114180;Maze Runner, The (2014);2014;2010;Action | Mystery | Sci-Fi;Action;4,0;2,0;True;True;negativo;Trakt
273891;Bullet Train (2022);2022;2020;Action | Mystery | Thriller;Action;4,0;2,0;True;True;negativo;Trakt
104841;Gravity (2013);2013;2010;Action | Sci-Fi | IMAX;Action;4,0;2,0;True;True;negativo;Trakt
96610;Looper (2012);2012;2010;Action | Crime | Sci-Fi;Action;8,0;4,0;True;True;positivo;Trakt
76251;Kick-Ass (2010);2010;2010;Action | Comedy;Action;5,0;2,5;True;True;negativo;Trakt
6934;Matrix Revolutions, The (2003);2003;2000;Action | Adventure | Sci-Fi | Thriller | IMAX;Action;4,0;2,0;True;True;negativo;Trakt
102903;Now You See Me (2013);2013;2010;Crime | Mystery | Thriller;Crime;2,0;1,0;True;True;negativo;Trakt
139385;The Revenant (2015);2015;2010;Adventure | Drama;Adventure;4,0;2,0;True;True;negativo;Trakt
59315;Iron Man (2008);2008;2000;Action | Adventure | Sci-Fi;Action;4,0;2,0;True;True;negativo;Trakt
174055;Dunkirk (2017);2017;2010;Action | Drama | Thriller | War;Action;8,0;4,0;True;True;positivo;Trakt
98809;Hobbit: An Unexpected Journey, The (2012);2012;2010;Adventure | Fantasy | IMAX;Adventure;5,0;2,5;True;True;negativo;Trakt
1241;Dead Alive (Braindead) (1992);1992;1990;Comedy | Fantasy | Horror;Comedy;5,0;2,5;True;True;negativo;Trakt
4878;Donnie Darko (2001);2001;2000;Drama | Mystery | Sci-Fi | Thriller;Drama;9,0;4,5;True;True;positivo;Trakt
115713;Ex Machina (2015);2015;2010;Drama | Sci-Fi | Thriller;Drama;8,0;4,0;True;True;positivo;Trakt
4973;Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001);2001;2000;Comedy | Romance;Comedy;8,0;4,0;True;True;positivo;Trakt
541;Blade Runner (1982);1982;1980;Action | Sci-Fi | Thriller;Action;8,0;4,0;True;True;positivo;Trakt
168250;Get Out (2017);2017;2010;Horror;Horror;3,0;1,5;True;True;negativo;Trakt
48394;Pan's Labyrinth (Laberinto del fauno, El) (2006);2006;2000;Drama | Fantasy | Thriller;Drama;8,0;4,0;True;True;positivo;Trakt
74458;Shutter Island (2010);2010;2010;Drama | Mystery | Thriller;Drama;9,0;4,5;True;True;positivo;Trakt
266002;Killers of the Flower Moon;;;Crime | Drama | Thriller;Crime;5,0;2,5;True;True;negativo;Trakt
97;Hate (Haine, La) (1995);1995;1990;Crime | Drama;Crime;8,0;4,0;True;True;positivo;Trakt
275503;Aftersun (2022);2022;2020;Drama;Drama;2,0;1,0;True;True;negativo;Trakt
356;Forrest Gump (1994);1994;1990;Comedy | Drama | Romance | War;Comedy;8,0;4,0;True;True;positivo;Trakt
109487;Interstellar (2014);2014;2010;Sci-Fi | IMAX;Sci-Fi;10,0;5,0;True;True;positivo;Trakt
202439;Parasite (2019);2019;2010;Comedy | Drama;Comedy;8,0;4,0;True;True;positivo;Trakt
209965;Uncut Gems (2019);2019;2010;Comedy | Crime | Drama | Thriller;Comedy;8,0;4,0;True;True;positivo;Trakt
1653;Gattaca (1997);1997;1990;Drama | Sci-Fi | Thriller;Drama;8,0;4,0;True;True;positivo;Trakt
1732;Big Lebowski, The (1998);1998;1990;Comedy | Crime;Comedy;8,0;4,0;True;True;positivo;Trakt
8533;Notebook, The (2004);2004;2000;Drama | Romance;Drama;5,0;2,5;True;True;negativo;Trakt
608;Fargo (1996);1996;1990;Comedy | Crime | Drama | Thriller;Comedy;9,0;4,5;True;True;positivo;Trakt
1080;Monty Python's Life of Brian (1979);1979;1970;Comedy;Comedy;9,0;4,5;True;True;positivo;Trakt
1682;Truman Show, The (1998);1998;1990;Comedy | Drama | Sci-Fi;Comedy;8,0;4,0;True;True;positivo;Trakt
183869;;2018;2010;Unknown;Unknown;8,0;4,0;True;True;positivo;Trakt
164179;Arrival (2016);2016;2010;Sci-Fi;Sci-Fi;9,0;4,5;True;True;positivo;Trakt
277066;Triangle of Sadness (2022);2022;2020;Comedy | Drama;Comedy;8,0;4,0;True;True;positivo;Trakt
55820;No Country for Old Men (2007);2007;2000;Crime | Drama;Crime;9,0;4,5;True;True;positivo;Trakt
6586;American Wedding (American Pie 3) (2003);2003;2000;Comedy;Comedy;5,0;2,5;True;True;negativo;Trakt
1701;Deconstructing Harry (1997);1997;1990;Comedy | Drama;Comedy;5,0;2,5;True;True;negativo;Trakt
95441;Ted;2012;2010;Comedy | Fantasy;Comedy;;;True;False;visto_sin_rating;Trakt
260;Star Wars;1977;1970;Action | Adventure | Sci-Fi;Action;;;True;False;visto_sin_rating;Trakt
1527;The Fifth Element;1997;1990;Action | Adventure | Comedy | Sci-Fi;Action;;;True;False;visto_sin_rating;Trakt
6539;Pirates of the Caribbean: The Curse of the Black Pearl;2003;2000;Action | Adventure | Comedy | Fantasy;Action;;;True;False;visto_sin_rating;Trakt
6874;Kill Bill: Vol. 1;2003;2000;Action | Crime | Thriller;Action;;;True;False;visto_sin_rating;Trakt
1208;Apocalypse Now;1979;1970;Action | Drama | War;Action;;;True;False;visto_sin_rating;Trakt
7361;Eternal Sunshine of the Spotless Mind;2004;2000;Drama | Romance | Sci-Fi;Drama;;;True;False;visto_sin_rating;Trakt
45722;Pirates of the Caribbean: Dead Man's Chest;2006;2000;Action | Adventure | Fantasy;Action;;;True;False;visto_sin_rating;Trakt
32;Twelve Monkeys;1995;1990;Mystery | Sci-Fi | Thriller;Mystery;;;True;False;visto_sin_rating;Trakt
215;Before Sunrise;1995;1990;Drama | Romance;Drama;;;True;False;visto_sin_rating;Trakt
4226;Memento;2000;2000;Mystery | Thriller;Mystery;;;True;False;visto_sin_rating;Trakt
8638;Before Sunset;2004;2000;Drama | Romance;Drama;;;True;False;visto_sin_rating;Trakt
1198;Raiders of the Lost Ark;1981;1980;Action | Adventure;Action;;;True;False;visto_sin_rating;Trakt
2115;Indiana Jones and the Temple of Doom;1984;1980;Action | Adventure | Fantasy;Action;;;True;False;visto_sin_rating;Trakt
1291;Indiana Jones and the Last Crusade;1989;1980;Action | Adventure;Action;;;True;False;visto_sin_rating;Trakt
3578;Gladiator;2000;2000;Action | Adventure | Drama;Action;;;True;False;visto_sin_rating;Trakt
111;Taxi Driver;1976;1970;Crime | Drama | Thriller;Crime;;;True;False;visto_sin_rating;Trakt
4011;Snatch;2000;2000;Comedy | Crime | Thriller;Comedy;;;True;False;visto_sin_rating;Trakt
4993;The Lord of the Rings: The Fellowship of the Ring;2001;2000;Adventure | Fantasy;Adventure;;;True;False;visto_sin_rating;Trakt
5952;The Lord of the Rings: The Two Towers;2002;2000;Adventure | Fantasy;Adventure;;;True;False;visto_sin_rating;Trakt
