rank,movieId,title,year,genres,hybrid_score,human_like_score,semantic_relevance_adjusted_score,anchor_match_score,false_positive_risk,item_item_collab_score,rating_score,popularity_score,negative_semantic_relevance_score,negative_genre_score,recommendation_branch,recommendation_bucket,dominant_signal,semantic_branch,branch_strength,anchor_movies_matched,nearest_core_anchor_movies,core_semantic_explanation_terms,semantic_explanation_terms,why_this_matches,risk_explanation
1,50,"Usual Suspects, The (1995)",1995.0,Crime|Mystery|Thriller,0.3715509413871155,1.0,0.9578207381370826,0.9805567830313743,0.451195482770426,0.9930492595950439,0.6325350553505533,0.9283235908707258,0.9958020326999558,0.20754716981132076,crime_thriller,muy_parecida_a_favoritas,semantic,crime_thriller,strong,"Shutter Island (2010) | Departed, The (2006) | No Country for Old Men (2007); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), American Beauty (1999)","Shutter Island (2010) | Departed, The (2006) | No Country for Old Men (2007)","dark, ambiguous ending, neo-noir, confusing, narrated","ambiguous ending, neo-noir, confusing, narrated, complex","anclas cercanas: Shutter Island (2010) | Departed, The (2006) | No Country for Old Men (2007); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), American Beauty (1999) | terminos afines: dark, ambiguous ending, neo-noir, confusing, narrated; ambiguous ending, neo-noir, confusing, narrated, complex | rama crime_thriller",riesgo medio: cercania a perfil negativo
2,318,"Shawshank Redemption, The (1994)",1994.0,Crime|Drama,0.2903595015347098,0.9997678737233054,0.9979914637208135,0.9995581087052585,0.5310357704432797,0.9978845572680568,0.7023069300197222,1.0,0.9960229783473266,0.18867924528301888,crime_thriller,muy_parecida_a_favoritas,semantic,crime_thriller,strong,"Departed, The (2006) | Arrival (2016) | No Country for Old Men (2007); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013)","Departed, The (2006) | Arrival (2016) | No Country for Old Men (2007)","psychology, cinematography, existentialism, atmospheric, morality","psychology, existentialism, morality, heartwarming, hope","anclas cercanas: Departed, The (2006) | Arrival (2016) | No Country for Old Men (2007); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013) | terminos afines: psychology, cinematography, existentialism, atmospheric, morality; psychology, existentialism, morality, heartwarming, hope | rama crime_thriller",riesgo medio: cercania a perfil negativo
3,5954,25th Hour (2002),2002.0,Crime|Drama,0.42803046433522834,0.999535747446611,0.9972382626161185,0.9823243482103402,0.3609857140153002,0.9042006648534301,0.4020056854074543,0.5221214665837328,0.6599646486964207,0.18867924528301888,crime_thriller,muy_parecida_a_favoritas,semantic,crime_thriller,strong,"Nightcrawler (2014) | Departed, The (2006) | Once Upon a Time in Hollywood (2019); City of God (Cidade de Deus) (2002), American Beauty (1999), Edward Scissorhands (1990)","Nightcrawler (2014) | Departed, The (2006) | Once Upon a Time in Hollywood (2019)","dark, psychology, surrealism, depressing, powerful ending","psychology, surrealism, depressing, dark","anclas cercanas: Nightcrawler (2014) | Departed, The (2006) | Once Upon a Time in Hollywood (2019); City of God (Cidade de Deus) (2002), American Beauty (1999), Edward Scissorhands (1990) | terminos afines: dark, psychology, surrealism, depressing, powerful ending; psychology, surrealism, depressing, dark | rama crime_thriller",riesgo medio: cercania a perfil negativo
4,44555,"Lives of Others, The (Das leben der Anderen) (2006)",2006.0,Drama|Romance|Thriller,0.4154199258121355,0.9993036211699164,0.9746422294752699,0.9374723817940787,0.4122176095460819,0.9860985191900876,0.599384828485293,0.635530863599754,0.8225806451612904,0.3018867924528302,crime_thriller,muy_parecida_a_favoritas,semantic,crime_thriller,strong,"Parasite (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006) | Arrival (2016); Parasite (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006) | Gattaca (1997); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013)","Parasite (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006) | Arrival (2016)","tense, psychology, social commentary, moving, complex characters","tense, psychology, moving, social commentary","anclas cercanas: Parasite (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006) | Arrival (2016); Parasite (2019) | Pan's Labyrinth (Laberinto del fauno, El) (2006) | Gattaca (1997); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Dallas Buyers Club (2013) | terminos afines: tense, psychology, social commentary, moving, complex characters; tense, psychology, moving, social commentary | rama crime_thriller",riesgo medio: cercania a perfil negativo
5,3735,Serpico (1973),1973.0,Crime|Drama,0.35966589378025515,0.9990714948932219,0.9522972633693196,0.9522757401679187,0.32021894293821873,0.8909035962526443,0.45404761904761903,0.49001086785341263,0.573353954927088,0.18867924528301888,crime_thriller,muy_parecida_a_favoritas,semantic,crime_thriller,strong,"Departed, The (2006) | No Country for Old Men (2007) | Nightcrawler (2014); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Shining, The (1980)","Departed, The (2006) | No Country for Old Men (2007) | Nightcrawler (2014)","atmospheric, strange","atmospheric, strange","anclas cercanas: Departed, The (2006) | No Country for Old Men (2007) | Nightcrawler (2014); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), Shining, The (1980) | terminos afines: atmospheric, strange | rama crime_thriller",riesgo bajo: cercania a perfil negativo
6,6,Heat (1995),1995.0,Action|Crime|Thriller,0.4730359414536597,0.9988393686165274,0.9821742405222195,0.8486522315510384,0.2964091305619944,0.9338168631006346,0.4341386910817224,0.7857704312756684,0.4768007070260716,0.2641509433962264,crime_thriller,muy_parecida_a_favoritas,semantic,crime_thriller,strong,"Nightcrawler (2014) | Blade Runner (1982) | Uncut Gems (2019); City of God (Cidade de Deus) (2002), American Beauty (1999), Fear and Loathing in Las Vegas (1998)",Nightcrawler (2014) | Blade Runner (1982) | Uncut Gems (2019),"tense, atmospheric, neo-noir, witty, bleak","tense, neo-noir, atmospheric, bleak","anclas cercanas: Nightcrawler (2014) | Blade Runner (1982) | Uncut Gems (2019); City of God (Cidade de Deus) (2002), American Beauty (1999), Fear and Loathing in Las Vegas (1998) | terminos afines: tense, atmospheric, neo-noir, witty, bleak; tense, neo-noir, atmospheric, bleak | rama crime_thriller",riesgo bajo: sin alertas fuertes
7,1199,Brazil (1985),1985.0,Fantasy|Sci-Fi,0.285849838152916,0.9962859795728877,0.9876977152899824,0.997348652231551,0.5064286721080766,0.966152916288909,0.5033819912308846,0.7077198632799765,0.997348652231551,0.1509433962264151,sci_fi_reflective,muy_parecida_a_favoritas,semantic,sci_fi_reflective,strong,"Truman Show, The (1998) | Blade Runner 2049 (2017) | Pan's Labyrinth (Laberinto del fauno, El) (2006); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), American Beauty (1999)","Truman Show, The (1998) | Blade Runner 2049 (2017) | Pan's Labyrinth (Laberinto del fauno, El) (2006)","dark, ambiguous ending, dreamlike, surrealism, atmospheric","ambiguous ending, dreamlike, surrealism, neo-noir, cerebral","anclas cercanas: Truman Show, The (1998) | Blade Runner 2049 (2017) | Pan's Labyrinth (Laberinto del fauno, El) (2006); Cinema Paradiso (Nuovo cinema Paradiso) (1989), City of God (Cidade de Deus) (2002), American Beauty (1999) | terminos afines: dark, ambiguous ending, dreamlike, surrealism, atmospheric; ambiguous ending, dreamlike, surrealism, neo-noir, cerebral | rama sci_fi_reflective",riesgo medio: cercania a perfil negativo
8,8914,Primer (2004),2004.0,Drama|Sci-Fi,0.3818369394466767,0.995125348189415,0.9558122018578961,0.9555899248784799,0.41046652901894165,0.8978543366576005,0.4075437735231551,0.5160337429263434,0.7810428634555899,0.22641509433962265,sci_fi_reflective,muy_parecida_a_favoritas,semantic,sci_fi_reflective,strong,"Looper (2012) | Arrival (2016) | Mr. Nobody (2009); Fear and Loathing in Las Vegas (1998), 28 Days Later (2002), Blade Runner 2049 (2017)",Looper (2012) | Arrival (2016) | Mr. Nobody (2009),"time travel, cerebral, surreal, complex, mindfuck","time travel, cerebral, complex, thought-provoking","anclas cercanas: Looper (2012) | Arrival (2016) | Mr. Nobody (2009); Fear and Loathing in Las Vegas (1998), 28 Days Later (2002), Blade Runner 2049 (2017) | terminos afines: time travel, cerebral, surreal, complex, mindfuck; time travel, cerebral, complex, thought-provoking | rama sci_fi_reflective",riesgo medio: cercania a perfil negativo
9,1270,Back to the Future (1985),1985.0,Adventure|Comedy|Sci-Fi,0.2786701011808852,0.994196843082637,0.9811699723826262,0.9511710119310649,0.5005750692523738,0.9715926261710487,0.4845747345626139,0.912788553110124,0.8985859478568272,0.2641509433962264,sci_fi_reflective,muy_parecida_a_favoritas,semantic,sci_fi_reflective,strong,"Interstellar (2014) | Looper (2012) | Arrival (2016); Interstellar (2014) | Palm Springs (2020) | Looper (2012); American Beauty (1999), Edward Scissorhands (1990), Midnight in Paris (2011)",Interstellar (2014) | Looper (2012) | Arrival (2016),"nostalgic, atmospheric, time travel, time loop, witty","nostalgic, time travel, time loop, whimsical, atmospheric","anclas cercanas: Interstellar (2014) | Looper (2012) | Arrival (2016); Interstellar (2014) | Palm Springs (2020) | Looper (2012); American Beauty (1999), Edward Scissorhands (1990), Midnight in Paris (2011) | terminos afines: nostalgic, atmospheric, time travel, time loop, witty; nostalgic, time travel, time loop, whimsical, atmospheric | rama sci_fi_reflective",riesgo medio: cercania a perfil negativo
10,589,Terminator 2: Judgment Day (1991),1991.0,Action|Sci-Fi,0.24674003366637604,0.9930362116991643,0.9814210394175245,0.9904993371630579,0.5382321550517217,0.9501359927470535,0.48102233011128503,0.9299174463640221,0.9891736632788334,0.20754716981132076,sci_fi_reflective,muy_parecida_a_favoritas,semantic,sci_fi_reflective,strong,"Looper (2012) | Interstellar (2014) | Arrival (2016); American Beauty (1999), Deadpool (2016), Departed, The (2006)",Looper (2012) | Interstellar (2014) | Arrival (2016),"tense, cinematography, atmospheric, time travel, stylized","tense, time travel, hope, narrated, atmospheric","anclas cercanas: Looper (2012) | Interstellar (2014) | Arrival (2016); American Beauty (1999), Deadpool (2016), Departed, The (2006) | terminos afines: tense, cinematography, atmospheric, time travel, stylized; tense, time travel, hope, narrated, atmospheric | rama sci_fi_reflective",riesgo medio: cercania a perfil negativo
